DateTime,Ordered Food, Price ,Restaurant Name,Packaging Type,Estimated Delivery Time,Favorite,Calories per Meal
2022-08-01,Margherita Pizza,$12.50 ,Papa's Pizzeria,Eco friendly ,16,No,850
2022-06-22,Chicken Fried Rice,$15.75 ,Spice Palace,Normal,28,Yes,650
2022-09-18,BBQ Ribs,$20.00 ,Sakura Sushi,Normal,24,No,720
2023-11-13,Margherita Pizza,$8.99 ,Green Leaf Grill,Normal,17,Yes,450
2022-04-15,Chicken Parmesan,$11.25 ,Thai Orchid,Normal,19,No,550
2022-06-16,Margherita Pizza,$10.99 ,Bella Italia,Normal,27,Yes,750
2022-01-08,Chicken Caesar Wrap,$18.50 ,Smokey's BBQ,Ecofriendly,16,No,950
2023-09-13,Beef Stir Fry,$9.25 ,Zen Garden Sushi,Ecofriendly,21,Yes,380
2022-02-21,Chicken Caesar Salad,$7.99 ,Big Bite Burgers,Normal,19,No,620
2022-04-09,Beef Stir Fry,$12.00 ,Fresh Greens,Normal,27,No,420
2023-02-05,Margherita Pizza,$8.00 ,Tequila Bar,Ecofriendly,17,Yes,280
2022-09-17,Fish Tacos,$14.50 ,Wok This Way,Normal,28,No,850
2023-11-14,Veggie Wrap,$9.75 ,Crunchy Bites,Normal,18,Yes,520
2022-06-27,Margherita Pizza,$10.50 ,Pho King,Normal,28,No,380
2022-06-20,Beef Burrito,$11.99 ,Mario's Pizzeria,Ecofriendly,23,Yes,780
2022-02-14,Veggie Burger,$9.99 ,Hot Wings Express,Ecofriendly,26,No,690
2023-04-26,BBQ Ribs,$8.25 ,Falafel Kingdom,Normal,27,Yes,420
2023-12-15,Fish and Chips,$10.75 ,Burrito Bonanza,Ecofriendly,25,No,720
2023-12-08,Margherita Pizza,$13.25 ,Oriental Express,Ecofriendly,15,Yes,580
2022-12-07,Veggie Wrap,$10.99 ,Nonna's Kitchen,Ecofriendly,21,No,800
2022-07-05,Beef Taco,$9.99 ,Smokey's BBQ,Normal,26,No,680
2022-11-24,Chicken Caesar Salad,$12.50 ,Wok This Way,Ecofriendly,21,Yes,450
2023-03-16,Chicken Caesar Salad,$14.75 ,Seafood Shack,Normal,28,No,850
2022-08-04,BBQ Chicken Wings,$8.25 ,Fresh Greens,Normal,20,Yes,520
2023-02-20,Cheeseburger,$11.99 ,Mario's Pizzeria,Normal,30,No,780
2022-10-12,Margherita Pizza,$10.50 ,Burrito Bonanza,Ecofriendly,16,Yes,620
2023-05-28,Chicken Caesar Salad,$13.99 ,Oriental Express,Ecofriendly,15,No,720
2023-10-09,Margherita Pizza,$10.99 ,Nonna's Kitchen,Normal,15,Yes,800
2023-07-01,Chicken Caesar Wrap,$8.50 ,Taco Haven,Normal,21,No,540
2023-09-06,Chicken Caesar Salad,$9.75 ,Shawarma Express,Normal,15,Yes,680
2023-08-05,Veggie Wrap,$11.99 ,Bella Italia,Ecofriendly,23,No,750
2022-06-28,Margherita Pizza,$7.99 ,Crunchy Bites,Ecofriendly,30,Yes,520
2023-01-23,Margherita Pizza,$22.00 ,Sakura Sushi,Ecofriendly,27,No,720
2022-05-16,Chicken Shawarma,$16.99 ,Mama Mia's Kitchen,Ecofriendly,28,Yes,890
2023-02-12,Veggie Sushi Roll,$12.50 ,Thai Orchid,Ecofriendly,22,No,550
2022-08-14,Chicken Caesar Salad,$10.99 ,Mario's Pizzeria,Ecofriendly,26,Yes,780
2023-04-08,Veggie Stir Fry,$9.50 ,Green Leaf Grill,Normal,20,No,520
2023-10-07,Veggie Wrap,$20.50 ,Smokey's BBQ,Ecofriendly,17,Yes,950
2022-09-25,Chicken Caesar Wrap,$11.75 ,Fresh Greens,Normal,20,No,420
2023-04-06,Chicken Wings,$14.25 ,Seafood Shack,Ecofriendly,16,Yes,680
2022-09-17,Margherita Pizza,$36.51 ,Wok This Way,Normal,22,No,619
2023-03-11,Veggie Wrap,$30.58 ,Bella Italia,Normal,19,No,495
2022-10-11,Chicken Caesar Salad,$31.20 ,Thai Orchid,Ecofriendly,28,No,507
2022-08-17,Margherita Pizza,$30.58 ,Falafel Kingdom,Normal,28,No,593
2023-09-25,Chicken Caesar Salad,$28.96 ,Smokey's BBQ,Normal,23,No,632
2023-12-04,Margherita Pizza,$34.48 ,Burrito Bonanza,Normal,26,No,508
2023-06-09,Chicken Fried Rice,$21.54 ,Big Bite Burgers,Normal,28,No,552
2022-03-20,Beef Stir Fry,$30.82 ,Mario's Pizzeria,Normal,27,No,780
2022-03-16,BBQ Ribs,$25.74 ,Crunchy Bites,Normal,29,Yes,870
2023-09-06,Chicken Parmesan,$49.14 ,Mama Mia's Kitchen,Ecofriendly,20,No,513
2022-10-09,Chicken Caesar Salad,$23.57 ,Sakura Sushi,Normal,17,No,579
2022-06-09,Margherita Pizza,$15.91 ,Green Leaf Grill,Normal,16,No,625
2022-09-08,Chicken Caesar Wrap,$20.43 ,Seafood Shack,Normal,30,Yes,660
2022-04-19,Chicken Caesar Salad,$19.59 ,Nonna's Kitchen,Normal,30,No,525
2022-05-16,Chicken Wings,$39.71 ,Fresh Greens,Normal,25,Yes,704
2022-04-08,BBQ Chicken Wings,$23.46 ,Papa's Pizzeria,Ecofriendly,16,Yes,801
2023-10-22,Margherita Pizza,$28.93 ,Hot Wings Express,Normal,16,Yes,869
2023-09-26,Margherita Pizza,$33.48 ,Smokey's BBQ,Normal,30,No,823
2023-05-09,Chicken Caesar Salad,$45.83 ,Shawarma Express,Ecofriendly,22,Yes,643
2022-08-26,Veggie Wrap,$19.47 ,Tequila Bar,Ecofriendly,17,Yes,862
2022-02-01,Margherita Pizza,$41.68 ,Zen Garden Sushi,Normal,16,No,587
2022-09-18,Chicken Caesar Salad,$27.88 ,Wok This Way,Ecofriendly,16,Yes,753
2022-02-05,Beef Taco,$28.80 ,Thai Orchid,Normal,26,No,813
2023-03-04,Veggie Burger,$21.97 ,Bella Italia,Ecofriendly,28,No,834
2022-07-23,Beef Burrito,$42.09 ,Burrito Bonanza,Ecofriendly,26,No,748
2023-11-15,Chicken Caesar Wrap,$26.48 ,Oriental Express,Ecofriendly,28,Yes,527
2023-05-20,Margherita Pizza,$19.22 ,Crunchy Bites,Normal,22,Yes,503
2023-04-06,Fish Tacos,$26.13 ,Smokey's BBQ,Ecofriendly,18,No,472
2023-02-09,Chicken Fried Rice,$21.84 ,Mario's Pizzeria,Ecofriendly,18,No,648
2022-07-18,Margherita Pizza,$38.82 ,Fresh Greens,Normal,23,Yes,607
2022-07-17,Chicken Caesar Wrap,$22.12 ,Falafel Kingdom,Ecofriendly,24,No,647
2022-07-23,Margherita Pizza,$44.28 ,Seafood Shack,Ecofriendly,26,Yes,833
2022-09-02,Chicken Caesar Salad,$19.33 ,Nonna's Kitchen,Normal,19,Yes,453
2023-11-21,Chicken Caesar Salad,$32.83 ,Mama Mia's Kitchen,Normal,22,Yes,784
2022-12-06,Margherita Pizza,$15.49 ,Sakura Sushi,Normal,27,No,594
2022-07-11,Veggie Stir Fry,$41.56 ,Green Leaf Grill,Normal,16,Yes,594
2023-11-21,Margherita Pizza,$49.81 ,Thai Orchid,Ecofriendly,26,No,546
2023-06-12,BBQ Ribs,$39.40 ,Papa's Pizzeria,Normal,30,Yes,700
2023-03-03,Margherita Pizza,$22.87 ,Smokey's BBQ,Ecofriendly,21,No,551
2022-09-05,Chicken Caesar Salad,$44.47 ,Hot Wings Express,Normal,18,No,887
2023-03-06,BBQ Ribs,$18.51 ,Wok This Way,Normal,15,Yes,759
2023-07-09,Veggie Wrap,$44.38 ,Burrito Bonanza,Ecofriendly,22,No,709
2022-05-09,Margherita Pizza,$28.30 ,Crunchy Bites,Ecofriendly,16,No,604
2023-11-02,Chicken Fried Rice,$34.78 ,Mario's Pizzeria,Ecofriendly,23,Yes,534
2022-08-19,Margherita Pizza,$22.00 ,Bella Italia,Normal,26,Yes,691
2022-01-10,Chicken Caesar Salad,$38.28 ,Shawarma Express,Ecofriendly,25,No,497
2023-03-20,Margherita Pizza,$36.26 ,Fresh Greens,Ecofriendly,27,No,673
2023-12-22,Chicken Caesar Wrap,$27.99 ,Seafood Shack,Ecofriendly,15,Yes,683
2022-05-16,Chicken Caesar Wrap,$42.46 ,Nonna's Kitchen,Normal,28,No,512
2023-04-16,Chicken Caesar Salad,$31.57 ,Oriental Express,Normal,29,No,652
2023-06-21,Chicken Caesar Salad,$24.99 ,Thai Orchid,Ecofriendly,22,Yes,612
2023-10-11,Margherita Pizza,$20.47 ,Falafel Kingdom,Normal,15,No,498
2022-07-18,Chicken Caesar Salad,$29.91 ,Sakura Sushi,Normal,27,Yes,561
2023-09-17,Margherita Pizza,$35.37 ,Green Leaf Grill,Normal,20,No,519
2023-11-09,Margherita Pizza,$31.00 ,Smokey's BBQ,Ecofriendly,26,No,629
2023-11-12,Chicken Caesar Salad,$22.48 ,Papa's Pizzeria,Ecofriendly,20,No,531
2022-09-27,Chicken Caesar Salad,$37.10 ,Tequila Bar,Ecofriendly,28,Yes,895
2022-07-25,Margherita Pizza,$45.14 ,Wok This Way,Ecofriendly,29,Yes,717
2023-09-14,Margherita Pizza,$22.73 ,Big Bite Burgers,Ecofriendly,19,No,699
2023-01-28,Chicken Caesar Wrap,$27.66 ,Mario's Pizzeria,Normal,21,Yes,755
2022-01-14,Chicken Caesar Salad,$27.05 ,Crunchy Bites,Ecofriendly,24,No,900
2023-10-07,BBQ Ribs,$21.84 ,Bella Italia,Normal,18,No,455
2022-04-10,Chicken Caesar Salad,$46.99 ,Seafood Shack,Normal,28,Yes,707
2022-07-08,Beef Stir Fry,$35.07 ,Burrito Bonanza,Ecofriendly,29,Yes,726
2023-04-19,Chicken Fried Rice,$20.80 ,Fresh Greens,Normal,29,No,552
2022-11-06,Margherita Pizza,$47.29 ,Shawarma Express,Normal,16,No,639
2022-12-16,Margherita Pizza,$15.48 ,Nonna's Kitchen,Ecofriendly,24,Yes,460
2022-06-06,Margherita Pizza,$35.17 ,Mama Mia's Kitchen,Normal,30,Yes,783
2022-04-19,Chicken Fried Rice,$30.56 ,Thai Orchid,Ecofriendly,28,Yes,589
2023-01-25,Margherita Pizza,$48.92 ,Smokey's BBQ,Normal,25,No,651
2022-04-10,Chicken Caesar Salad,$37.24 ,Oriental Express,Normal,15,Yes,464
2023-10-22,Margherita Pizza,$37.95 ,Sakura Sushi,Normal,15,No,689
2023-01-14,Chicken Caesar Salad,$34.91 ,Green Leaf Grill,Normal,18,Yes,554
2023-08-20,Margherita Pizza,$44.43 ,Falafel Kingdom,Ecofriendly,27,No,463
2022-07-05,Margherita Pizza,$36.75 ,Wok This Way,Normal,27,No,670
2022-02-28,Veggie Wrap,$29.70 ,Papa's Pizzeria,Normal,27,No,704
2023-04-02,Margherita Pizza,$15.82 ,Crunchy Bites,Ecofriendly,16,No,636
2023-10-11,Margherita Pizza,$47.19 ,Mario's Pizzeria,Ecofriendly,15,No,474
2023-07-19,Margherita Pizza,$39.82 ,Hot Wings Express,Normal,22,No,474
2022-07-16,Chicken Caesar Salad,$16.94 ,Bella Italia,Normal,23,No,617
2023-04-03,Chicken Caesar Salad,$44.30 ,Big Bite Burgers,Ecofriendly,29,No,742
2022-07-07,Chicken Fried Rice,$26.32 ,Thai Orchid,Normal,22,Yes,612
2022-02-13,BBQ Ribs,$19.10 ,Fresh Greens,Ecofriendly,23,No,717
2022-02-13,Chicken Caesar Salad,$30.67 ,Burrito Bonanza,Ecofriendly,16,Yes,861
2023-10-22,Beef Stir Fry,$34.53 ,Seafood Shack,Normal,26,No,845
2023-08-16,Chicken Caesar Salad,$36.14 ,Smokey's BBQ,Normal,17,Yes,659
2022-10-02,Chicken Caesar Wrap,$18.24 ,Nonna's Kitchen,Normal,16,Yes,496
2022-12-15,Chicken Caesar Salad,$26.87 ,Shawarma Express,Normal,17,Yes,700
2022-01-02,Chicken Caesar Salad,$26.72 ,Mama Mia's Kitchen,Normal,30,Yes,593
2023-10-23,Margherita Pizza,$34.74 ,Wok This Way,Normal,25,Yes,659
2022-04-28,Chicken Caesar Salad,$33.15 ,Sakura Sushi,Normal,22,No,749
2022-01-02,Margherita Pizza,$16.23 ,Oriental Express,Normal,22,Yes,471
2023-05-10,Margherita Pizza,$33.38 ,Green Leaf Grill,Normal,23,Yes,601
